tipolista,dataimportazione,dataaggiornamento,nomefile,lunghezzafile,errore,md5file,aggiornamenti,numerosoggetti
au,2026-01-01 06:00:03.29+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-01 06:00:32.293+00,2025-12-30 23:00:00+00,ofac_sdn.xml,27816825,f,,N,-1
ch,2026-01-01 06:00:47.874+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-01 06:01:17.368+00,2025-12-17 23:00:00+00,ofac_non_sdn.xml,978402,f,,N,-1
aq,2026-01-01 06:01:20.032+00,2025-12-31 23:00:07.423+00,onu.xml,2025693,f,,N,-1
eu,2026-01-01 06:01:22.672+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-01 06:01:29.874+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-01 06:01:34.017+00,2026-01-01 06:01:37.686+00,ca.xml,1672024,f,,N,-1
au,2026-01-01 20:00:03.647+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-01 20:00:18.639+00,2025-12-30 23:00:00+00,ofac_sdn.xml,27816825,f,,N,-1
ch,2026-01-01 20:00:32.904+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-01 20:00:53.459+00,2025-12-17 23:00:00+00,ofac_non_sdn.xml,978402,f,,N,-1
aq,2026-01-01 20:00:56.006+00,2025-12-31 23:00:07.423+00,onu.xml,2025693,f,,N,-1
eu,2026-01-01 20:00:59.538+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-01 20:01:09.181+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-01 20:01:15.268+00,2026-01-01 20:01:18.893+00,ca.xml,1672024,f,,N,-1
au,2026-01-02 06:00:06.617+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-02 06:00:24.037+00,2025-12-30 23:00:00+00,ofac_sdn.xml,27816825,f,,N,-1
ch,2026-01-02 06:00:49.524+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-02 06:01:03.585+00,2025-12-17 23:00:00+00,ofac_non_sdn.xml,978402,f,,N,-1
aq,2026-01-02 06:01:06.433+00,2026-01-01 23:00:07.409+00,onu.xml,2025693,f,,N,-1
eu,2026-01-02 06:01:10.236+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-02 06:01:25.027+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-02 06:01:28.881+00,2026-01-02 06:01:32.507+00,ca.xml,1672024,f,,N,-1
au,2026-01-02 20:00:08.606+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-02 20:00:28.751+00,2026-01-01 23:00:00+00,ofac_sdn.xml,27817004,f,,N,-1
ch,2026-01-02 20:00:49.203+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-02 20:01:04.278+00,2025-12-17 23:00:00+00,ofac_non_sdn.xml,978402,f,,N,-1
aq,2026-01-02 20:01:07.058+00,2026-01-01 23:00:07.409+00,onu.xml,2025693,f,,N,-1
eu,2026-01-02 20:01:09.783+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-02 20:01:20.139+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-02 20:01:24.842+00,2026-01-02 20:01:28.584+00,ca.xml,1672024,f,,N,-1
au,2026-01-03 20:00:02.711+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-03 20:00:21.991+00,2026-01-01 23:00:00+00,ofac_sdn.xml,27817004,f,,N,-1
ch,2026-01-03 20:00:36.565+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-03 20:00:52.04+00,2025-12-17 23:00:00+00,ofac_non_sdn.xml,978402,f,,N,-1
aq,2026-01-03 20:00:54.453+00,2026-01-02 23:00:09.473+00,onu.xml,2025693,f,,N,-1
eu,2026-01-03 20:00:57.084+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-03 20:01:04.492+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-03 20:01:08.34+00,2026-01-03 20:01:13.228+00,ca.xml,1672024,f,,N,-1
au,2026-01-04 06:00:03.319+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-04 06:00:24.161+00,2026-01-01 23:00:00+00,ofac_sdn.xml,27817004,f,,N,-1
ch,2026-01-04 06:00:40.124+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-04 06:01:09.282+00,2025-12-17 23:00:00+00,ofac_non_sdn.xml,978402,f,,N,-1
aq,2026-01-04 06:01:11.822+00,2026-01-03 23:00:11.87+00,onu.xml,2025693,f,,N,-1
eu,2026-01-04 06:01:14.309+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-04 06:01:21.906+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-04 06:01:25.703+00,2026-01-04 06:01:29.342+00,ca.xml,1672024,f,,N,-1
au,2026-01-05 06:00:06.652+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-05 06:00:24.454+00,2026-01-01 23:00:00+00,ofac_sdn.xml,27817004,f,,N,-1
ch,2026-01-05 06:00:39.124+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-05 06:01:04.193+00,2025-12-17 23:00:00+00,ofac_non_sdn.xml,978402,f,,N,-1
aq,2026-01-05 06:01:06.82+00,2026-01-03 23:00:11.87+00,onu.xml,2025693,f,,N,-1
eu,2026-01-05 06:01:09.284+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-05 06:01:18.28+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-05 06:01:22.265+00,2026-01-05 06:01:26.025+00,ca.xml,1672024,f,,N,-1
au,2026-01-05 20:00:00.814+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-05 20:00:22.972+00,2026-01-01 23:00:00+00,ofac_sdn.xml,27817004,f,,N,-1
ch,2026-01-05 20:00:46.646+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-05 20:00:59.049+00,2025-12-17 23:00:00+00,ofac_non_sdn.xml,978402,f,,N,-1
aq,2026-01-05 20:01:01.725+00,2026-01-03 23:00:11.87+00,onu.xml,2025693,f,,N,-1
eu,2026-01-05 20:01:04.408+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-05 20:01:14.003+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-05 20:01:19.884+00,2026-01-05 20:01:23.666+00,ca.xml,1672024,f,,N,-1
au,2026-01-06 06:00:06.533+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-06 06:00:34.359+00,2026-01-01 23:00:00+00,ofac_sdn.xml,27817004,f,,N,-1
ch,2026-01-06 06:00:48.433+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-06 06:01:18.858+00,2025-12-17 23:00:00+00,ofac_non_sdn.xml,978402,f,,N,-1
aq,2026-01-06 06:01:21.486+00,2026-01-05 23:00:09.202+00,onu.xml,2025693,f,,N,-1
eu,2026-01-06 06:01:23.965+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-06 06:01:33.458+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-06 06:01:37.381+00,2026-01-06 06:01:41.097+00,ca.xml,1672024,f,,N,-1
au,2026-01-06 20:00:08.763+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-06 20:00:26.083+00,2026-01-01 23:00:00+00,ofac_sdn.xml,27817004,f,,N,-1
ch,2026-01-06 20:00:41.03+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-06 20:00:56.82+00,2025-12-17 23:00:00+00,ofac_non_sdn.xml,978402,f,,N,-1
aq,2026-01-06 20:00:59.454+00,2026-01-05 23:00:09.202+00,onu.xml,2025693,f,,N,-1
eu,2026-01-06 20:01:01.88+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-06 20:01:09.108+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-06 20:01:13.112+00,2026-01-06 20:01:16.847+00,ca.xml,1672024,f,,N,-1
au,2026-01-07 06:00:06.05+00,2025-12-17 23:00:00+00,au.xlsx,1278152,f,,N,-1
sdn,2026-01-07 06:00:20.404+00,2026-01-01 23:00:00+00,ofac_sdn.xml,27817004,f,,N,-1
ch,2026-01-07 06:00:35.396+00,2025-12-12 23:00:00+00,ch.xml,36625908,f,,N,-1
nsdn,2026-01-07 06:01:04.767+00,2025-12-17 23:00:00+00,ofac_non_sdn.xml,978402,f,,N,-1
aq,2026-01-07 06:01:07.344+00,2026-01-06 23:00:09.162+00,onu.xml,2025693,f,,N,-1
eu,2026-01-07 06:01:10.981+00,2025-12-18 23:00:00+00,euea.xml,24072444,f,,N,-1
uk,2026-01-07 06:01:19.237+00,2025-12-18 23:00:00+00,uk.xml,19515706,f,,N,-1
ca,2026-01-07 06:01:23.28+00,2026-01-07 06:01:26.927+00,ca.xml,1672024,f,,N,-1
